Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Topological domain	Transmembrane	Subcellular location [CC]	Helix	Turn	Beta strand	RefSeq	BioGRID	STRING	Intramembrane
P06702	reviewed	S10A9_HUMAN	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	S100A9 CAGB CFAG MRP14	Homo sapiens (Human)	114	TISSUE SPECIFICITY: Calprotectin (S100A8/9) is predominantly expressed in myeloid cells. Except for inflammatory conditions, the expression is restricted to a specific stage of myeloid differentiation since both proteins are expressed in circulating neutrophils and monocytes but are absent in normal tissue macrophages and lymphocytes. Under chronic inflammatory conditions, such as psoriasis and malignant disorders, also expressed in the epidermis. Found in high concentrations at local sites of inflammation or in the serum of patients with inflammatory diseases such as rheumatoid, cystic fibrosis, inflammatory bowel disease, Crohn's disease, giant cell arteritis, cystic fibrosis, Sjogren's syndrome, systemic lupus erythematosus, and progressive systemic sclerosis. Involved in the formation and deposition of amyloids in the aging prostate known as corpora amylacea inclusions. Strongly up-regulated in many tumors, including gastric, esophageal, colon, pancreatic, bladder, ovarian, thyroid, breast and skin cancers. {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:3313057, ECO:0000269|PubMed:3405210, ECO:0000269|PubMed:8423249, ECO:0000269|PubMed:9083090}.			SUBCELLULAR LOCATION: Secreted. Cytoplasm {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:8423249}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:22489132, ECO:0000269|PubMed:9083090}. Cell membrane {ECO:0000269|PubMed:18786929}; Peripheral membrane protein {ECO:0000305|PubMed:18786929}. Note=Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane (PubMed:18786929). Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway (PubMed:15598812). {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:18786929}.	HELIX 7..23; /evidence="ECO:0007829|PDB:4GGF"; HELIX 34..44; /evidence="ECO:0007829|PDB:4GGF"; HELIX 50..53; /evidence="ECO:0007829|PDB:4GGF"; HELIX 56..66; /evidence="ECO:0007829|PDB:4GGF"; HELIX 76..94; /evidence="ECO:0007829|PDB:4GGF"	TURN 45..49; /evidence="ECO:0007829|PDB:4GGF"; TURN 95..97; /evidence="ECO:0007829|PDB:4GGF"; TURN 108..110; /evidence="ECO:0007829|PDB:5I8N"	STRAND 25..28; /evidence="ECO:0007829|PDB:4GGF"; STRAND 71..74; /evidence="ECO:0007829|PDB:4GGF"	NP_002956.1;	112188;	9606.ENSP00000357727;	
P06703	reviewed	S10A6_HUMAN	Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein) (PRA) (S100 calcium-binding protein A6)	S100A6 CACY	Homo sapiens (Human)	90				SUBCELLULAR LOCATION: Nucleus envelope. Cytoplasm. Cell membrane; Peripheral membrane protein; Cytoplasmic side.	HELIX 4..20; /evidence="ECO:0007829|PDB:1K8U"; HELIX 31..41; /evidence="ECO:0007829|PDB:1K8U"; HELIX 45..47; /evidence="ECO:0007829|PDB:1K8U"; HELIX 51..62; /evidence="ECO:0007829|PDB:1K8U"; HELIX 70..84; /evidence="ECO:0007829|PDB:1K8U"; HELIX 86..88; /evidence="ECO:0007829|PDB:1K8U"	TURN 63..65; /evidence="ECO:0007829|PDB:1K8U"	STRAND 22..24; /evidence="ECO:0007829|PDB:1K8U"; STRAND 28..30; /evidence="ECO:0007829|PDB:1K8U"; STRAND 67..69; /evidence="ECO:0007829|PDB:1K8U"	NP_055439.1;XP_016857522.1;	112185;	9606.ENSP00000357709;	
P06704	reviewed	CDC31_YEAST	Cell division control protein 31 (Nuclear pore protein CDC31) (Nucleoporin CDC31)	CDC31 DSK1 YOR257W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	161				SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000269|PubMed:10684247}. Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body {ECO:0000269|PubMed:8188750}. Note=Spindle pole body, SPB half- bridge (PubMed:8188750). Interacts with the nuclear pore complex (NPCs) at the nucleus envelope (PubMed:10684247). {ECO:0000269|PubMed:10684247, ECO:0000269|PubMed:8188750}.	HELIX 19..32; /evidence="ECO:0007829|PDB:3FWB"; HELIX 42..51; /evidence="ECO:0007829|PDB:3FWB"; HELIX 58..68; /evidence="ECO:0007829|PDB:3FWB"; HELIX 78..90; /evidence="ECO:0007829|PDB:3FWB"; HELIX 94..105; /evidence="ECO:0007829|PDB:3FWB"; HELIX 115..124; /evidence="ECO:0007829|PDB:3FWB"; HELIX 131..139; /evidence="ECO:0007829|PDB:3FWB"; HELIX 151..160; /evidence="ECO:0007829|PDB:3FWB"	TURN 10..16; /evidence="ECO:0007829|PDB:3FWB"	STRAND 36..40; /evidence="ECO:0007829|PDB:3FWB"; STRAND 72..74; /evidence="ECO:0007829|PDB:3FWB"; STRAND 110..113; /evidence="ECO:0007829|PDB:3FWB"; STRAND 143..150; /evidence="ECO:0007829|PDB:3FWB"	NP_014900.3;	34647;	4932.YOR257W;	
P06787	reviewed	CALM_YEAST	Calmodulin (CaM)	CMD1 YBR109C YBR0904	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	147				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body {ECO:0000269|PubMed:8247006}.	HELIX 7..20; /evidence="ECO:0007829|PDB:6OQQ"; HELIX 30..32; /evidence="ECO:0007829|PDB:6OQQ"; HELIX 33..39; /evidence="ECO:0007829|PDB:6OQQ"; HELIX 46..56; /evidence="ECO:0007829|PDB:6OQQ"; HELIX 66..78; /evidence="ECO:0007829|PDB:6OQQ"; HELIX 82..90; /evidence="ECO:0007829|PDB:6OQQ"; HELIX 103..112; /evidence="ECO:0007829|PDB:6OQQ"; HELIX 119..123; /evidence="ECO:0007829|PDB:6OQQ"; HELIX 138..145; /evidence="ECO:0007829|PDB:6OQQ"	TURN 57..60; /evidence="ECO:0007829|PDB:6OQQ"	STRAND 25..29; /evidence="ECO:0007829|PDB:6OQQ"; STRAND 63..65; /evidence="ECO:0007829|PDB:6OQQ"; STRAND 98..100; /evidence="ECO:0007829|PDB:6OQQ"; STRAND 113..115; /evidence="ECO:0007829|PDB:6OQQ"; STRAND 132..137; /evidence="ECO:0007829|PDB:1LKJ"	NP_009667.1;	32813;	4932.YBR109C;	
P06814	reviewed	CAN2_RABIT	Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	CAPN2	Oryctolagus cuniculus (Rabbit)	422	TISSUE SPECIFICITY: Ubiquitous.			SUBCELLULAR LOCATION: Cytoplasm. Cell membrane. Note=Translocates to the plasma membrane upon Ca(2+) binding.						9986.ENSOCUP00000017627;	
P06815	reviewed	CAN1_RABIT	Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Micromolar-calpain) (muCANP)	CAPN1	Oryctolagus cuniculus (Rabbit)	302	TISSUE SPECIFICITY: Ubiquitous. {ECO:0000269|PubMed:2424911}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P07384}. Cell membrane {ECO:0000250|UniProtKB:P07384}. Note=Translocates to the plasma membrane upon Ca(2+) binding. {ECO:0000250|UniProtKB:P07384}.						9986.ENSOCUP00000002711;	
P07091	reviewed	S10A4_MOUSE	Protein S100-A4 (Metastasin) (Metastatic cell protein) (PEL98) (Placental calcium-binding protein) (Protein 18A2) (Protein Mts1) (S100 calcium-binding protein A4)	S100a4 Capl Mts1	Mus musculus (Mouse)	101	TISSUE SPECIFICITY: Specifically expressed in different metastatic cells.			SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P26447}. Nucleus {ECO:0000250|UniProtKB:P26447}. Cytoplasm {ECO:0000269|PubMed:8051043}.				NP_035441.1;XP_006501240.1;XP_006501241.1;	203053;	10090.ENSMUSP00000001046;	
P07171	reviewed	CALB1_RAT	Calbindin (Calbindin D28) (D-28K) (Spot 35 protein) (Vitamin D-dependent calcium-binding protein, avian-type)	Calb1	Rattus norvegicus (Rat)	261					HELIX 2..5; /evidence="ECO:0007829|PDB:2F33"; HELIX 13..23; /evidence="ECO:0007829|PDB:2F33"; HELIX 34..50; /evidence="ECO:0007829|PDB:2F33"; HELIX 56..65; /evidence="ECO:0007829|PDB:2F33"; HELIX 68..70; /evidence="ECO:0007829|PDB:2F33"; HELIX 75..81; /evidence="ECO:0007829|PDB:2F33"; HELIX 88..92; /evidence="ECO:0007829|PDB:2F33"; HELIX 93..95; /evidence="ECO:0007829|PDB:2F33"; HELIX 100..107; /evidence="ECO:0007829|PDB:2F33"; HELIX 120..134; /evidence="ECO:0007829|PDB:2F33"; HELIX 140..153; /evidence="ECO:0007829|PDB:2F33"; HELIX 164..170; /evidence="ECO:0007829|PDB:2F33"; HELIX 178..183; /evidence="ECO:0007829|PDB:2F33"; HELIX 188..198; /evidence="ECO:0007829|PDB:2F33"; HELIX 208..221; /evidence="ECO:0007829|PDB:2F33"; HELIX 231..239; /evidence="ECO:0007829|PDB:2F33"; HELIX 249..251; /evidence="ECO:0007829|PDB:2F33"; HELIX 253..256; /evidence="ECO:0007829|PDB:2F33"	TURN 6..8; /evidence="ECO:0007829|PDB:2F33"; TURN 112..114; /evidence="ECO:0007829|PDB:2F33"; TURN 173..175; /evidence="ECO:0007829|PDB:2F33"; TURN 223..225; /evidence="ECO:0007829|PDB:2F33"; TURN 228..230; /evidence="ECO:0007829|PDB:2F33"	STRAND 28..31; /evidence="ECO:0007829|PDB:2F33"; STRAND 116..118; /evidence="ECO:0007829|PDB:2F33"; STRAND 156..160; /evidence="ECO:0007829|PDB:2F33"; STRAND 201..204; /evidence="ECO:0007829|PDB:2F33"	NP_114190.1;	249865;	10116.ENSRNOP00000010845;	
P07214	reviewed	SPRC_MOUSE	SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine)	Sparc	Mus musculus (Mouse)	302				SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000269|PubMed:3427055}. Note=In or around the basement membrane.				NP_033268.1;	203423;	10090.ENSMUSP00000018737;	
P07384	reviewed	CAN1_HUMAN	Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP)	CAPN1 CANPL1 PIG30	Homo sapiens (Human)	714	TISSUE SPECIFICITY: Ubiquitous. {ECO:0000269|PubMed:2400579, ECO:0000269|PubMed:3017764, ECO:0000269|PubMed:8769305, ECO:0000269|PubMed:8954105, ECO:0000269|PubMed:9271093}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21531719, ECO:0000269|PubMed:8769305}. Cell membrane {ECO:0000269|PubMed:8769305}. Note=Translocates to the plasma membrane upon Ca(2+) binding. In granular keratinocytes and in lower corneocytes, colocalizes with FLG and FLG2 (PubMed:21531719). {ECO:0000269|PubMed:21531719}.	HELIX 37..39; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 42..51; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 65..68; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 78..80; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 88..91; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 104..106; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 115..124; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 128..134; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 187..198; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 203..205; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 210..216; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 227..229; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 234..244; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 312..316; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 319..325; /evidence="ECO:0007829|PDB:1ZCM"; HELIX 338..344; /evidence="ECO:0007829|PDB:1ZCM"		STRAND 84..86; /evidence="ECO:0007829|PDB:1ZCM"; STRAND 99..102; /evidence="ECO:0007829|PDB:1ZCM"; STRAND 111..113; /evidence="ECO:0007829|PDB:1ZCM"; STRAND 147..155; /evidence="ECO:0007829|PDB:1ZCM"; STRAND 158..166; /evidence="ECO:0007829|PDB:1ZCM"; STRAND 168..171; /evidence="ECO:0007829|PDB:1ZCM"; STRAND 174..177; /evidence="ECO:0007829|PDB:1ZCM"; STRAND 217..220; /evidence="ECO:0007829|PDB:2ARY"; STRAND 221..226; /evidence="ECO:0007829|PDB:1ZCM"; STRAND 247..251; /evidence="ECO:0007829|PDB:1ZCM"; STRAND 256..258; /evidence="ECO:0007829|PDB:1ZCM"; STRAND 274..284; /evidence="ECO:0007829|PDB:1ZCM"; STRAND 287..295; /evidence="ECO:0007829|PDB:1ZCM"; STRAND 331..337; /evidence="ECO:0007829|PDB:1ZCM"; STRAND 347..352; /evidence="ECO:0007829|PDB:1ZCM"	NP_001185797.1;NP_001185798.1;NP_005177.2;XP_006718761.1;XP_011543594.1;	107273;	9606.ENSP00000431984;	
P07463	reviewed	CALM_PARTE	Calmodulin (CaM)	CAM GSPATT00015825001	Paramecium tetraurelia	149					HELIX 7..20; /evidence="ECO:0007829|PDB:1EXR"; HELIX 30..39; /evidence="ECO:0007829|PDB:1EXR"; HELIX 46..56; /evidence="ECO:0007829|PDB:1EXR"; HELIX 66..93; /evidence="ECO:0007829|PDB:1EXR"; HELIX 103..112; /evidence="ECO:0007829|PDB:1EXR"; HELIX 119..129; /evidence="ECO:0007829|PDB:1EXR"; HELIX 139..147; /evidence="ECO:0007829|PDB:1EXR"	TURN 114..116; /evidence="ECO:0007829|PDB:2KXW"	STRAND 25..28; /evidence="ECO:0007829|PDB:1EXR"; STRAND 61..65; /evidence="ECO:0007829|PDB:1EXR"; STRAND 98..101; /evidence="ECO:0007829|PDB:5E1K"; STRAND 131..137; /evidence="ECO:0007829|PDB:1EXR"	XP_001448363.1;		5888.CAK80966;	
P07751	reviewed	SPTN1_CHICK	Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain)	SPTAN1 SPTA2	Gallus gallus (Chicken)	2477				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cell cortex.	HELIX 957..959; /evidence="ECO:0007829|PDB:1TUD"; HELIX 1018..1020; /evidence="ECO:0007829|PDB:3NGP"; HELIX 1664..1686; /evidence="ECO:0007829|PDB:1U5P"; HELIX 1695..1730; /evidence="ECO:0007829|PDB:1U5P"; HELIX 1771..1791; /evidence="ECO:0007829|PDB:1CUN"; HELIX 1801..1837; /evidence="ECO:0007829|PDB:1CUN"; HELIX 1843..1898; /evidence="ECO:0007829|PDB:1CUN"; HELIX 1907..1944; /evidence="ECO:0007829|PDB:1CUN"; HELIX 1949..1981; /evidence="ECO:0007829|PDB:1CUN"		STRAND 952..956; /evidence="ECO:0007829|PDB:1TUD"; STRAND 960..962; /evidence="ECO:0007829|PDB:1G2B"; STRAND 967..969; /evidence="ECO:0007829|PDB:1G2B"; STRAND 971..974; /evidence="ECO:0007829|PDB:3NGP"; STRAND 981..984; /evidence="ECO:0007829|PDB:1H8K"; STRAND 993..998; /evidence="ECO:0007829|PDB:3NGP"; STRAND 1001..1009; /evidence="ECO:0007829|PDB:3NGP"; STRAND 1012..1017; /evidence="ECO:0007829|PDB:3NGP"; STRAND 1021..1023; /evidence="ECO:0007829|PDB:3NGP"; STRAND 1034..1036; /evidence="ECO:0007829|PDB:1TUC"; STRAND 1733..1735; /evidence="ECO:0007829|PDB:1U5P"	NP_001036003.1;		9031.ENSGALP00000038979;	
P08487	reviewed	PLCG1_BOVIN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)	PLCG1	Bos taurus (Bovine)	1291				SUBCELLULAR LOCATION: Cell projection, lamellipodium {ECO:0000250|UniProtKB:P19174}. Cell projection, ruffle {ECO:0000250|UniProtKB:P19174}. Note=Rapidly redistributed to ruffles and lamellipodia structures in response to epidermal growth factor (EGF) treatment. {ECO:0000250|UniProtKB:P19174}.	HELIX 663..665; /evidence="ECO:0007829|PDB:5TNW"; HELIX 675..681; /evidence="ECO:0007829|PDB:5TNW"; HELIX 734..743; /evidence="ECO:0007829|PDB:5TNW"		STRAND 669..672; /evidence="ECO:0007829|PDB:5TNW"; STRAND 685..688; /evidence="ECO:0007829|PDB:2FCI"; STRAND 690..695; /evidence="ECO:0007829|PDB:5TNW"; STRAND 697..700; /evidence="ECO:0007829|PDB:2PLE"; STRAND 701..708; /evidence="ECO:0007829|PDB:5TNW"; STRAND 711..720; /evidence="ECO:0007829|PDB:5TNW"; STRAND 723..726; /evidence="ECO:0007829|PDB:5TNW"; STRAND 729..733; /evidence="ECO:0007829|PDB:5TNW"; STRAND 746..749; /evidence="ECO:0007829|PDB:2PLD"	NP_776850.1;	159276;	9913.ENSBTAP00000023383;	
P08733	reviewed	MLRV_RAT	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform (MLC-2) (MLC-2v) (Myosin light chain 2, slow skeletal/ventricular muscle isoform) (MLC-2s/v)	Myl2 Mlc2	Rattus norvegicus (Rat)	166	TISSUE SPECIFICITY: Abundantly expressed in both cardiac and slow skeletal muscle (soleus), with no detectable expression in fast skeletal muscle (vastus lateralis) or non-muscle tissue. {ECO:0000269|PubMed:1379240}.			SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, A band {ECO:0000269|PubMed:17885681}.				NP_001030329.2;	264496;		
P09486	reviewed	SPRC_HUMAN	SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine)	SPARC ON	Homo sapiens (Human)	303				SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000269|PubMed:2306517, ECO:0000269|PubMed:3400777, ECO:0000269|PubMed:7495300, ECO:0000269|PubMed:9457905}. Note=In or around the basement membrane.	HELIX 98..100; /evidence="ECO:0007829|PDB:1NUB"; HELIX 107..109; /evidence="ECO:0007829|PDB:1NUB"; HELIX 122..131; /evidence="ECO:0007829|PDB:1NUB"; HELIX 136..140; /evidence="ECO:0007829|PDB:1NUB"; HELIX 157..181; /evidence="ECO:0007829|PDB:1SRA"; HELIX 190..201; /evidence="ECO:0007829|PDB:1SRA"; HELIX 213..222; /evidence="ECO:0007829|PDB:1SRA"; HELIX 224..227; /evidence="ECO:0007829|PDB:1SRA"; HELIX 228..238; /evidence="ECO:0007829|PDB:1SRA"; HELIX 253..256; /evidence="ECO:0007829|PDB:1SRA"; HELIX 260..262; /evidence="ECO:0007829|PDB:2V53"; HELIX 263..265; /evidence="ECO:0007829|PDB:1SRA"; HELIX 266..273; /evidence="ECO:0007829|PDB:1SRA"; HELIX 283..289; /evidence="ECO:0007829|PDB:1SRA"; HELIX 294..296; /evidence="ECO:0007829|PDB:1SRA"; HELIX 299..301; /evidence="ECO:0007829|PDB:1SRA"	TURN 71..74; /evidence="ECO:0007829|PDB:1NUB"; TURN 114..116; /evidence="ECO:0007829|PDB:2V53"; TURN 132..134; /evidence="ECO:0007829|PDB:1NUB"; TURN 249..252; /evidence="ECO:0007829|PDB:1SRA"; TURN 257..259; /evidence="ECO:0007829|PDB:2V53"	STRAND 81..85; /evidence="ECO:0007829|PDB:1NUB"; STRAND 91..95; /evidence="ECO:0007829|PDB:1NUB"; STRAND 111..113; /evidence="ECO:0007829|PDB:1NUB"; STRAND 118..121; /evidence="ECO:0007829|PDB:1NUB"; STRAND 143..148; /evidence="ECO:0007829|PDB:1NUB"; STRAND 183..188; /evidence="ECO:0007829|PDB:1SRA"; STRAND 244..247; /evidence="ECO:0007829|PDB:1SRA"; STRAND 278..282; /evidence="ECO:0007829|PDB:1SRA"	NP_001296372.1;NP_001296373.1;NP_003109.1;	112560;	9606.ENSP00000231061;	
P0C1Q3	reviewed	PCAT2_RAT	Lysophosphatidylcholine acyltransferase 2 (LPC acyltransferase 2) (LPCAT-2) (LysoPC acyltransferase 2) (EC 2.3.1.23) (1-acylglycerol-3-phosphate O-acyltransferase 11) (1-AGP acyltransferase 11) (1-AGPAT 11) (EC 2.3.1.51) (1-acylglycerophosphocholine O-acyltransferase) (1-alkenylglycerophosphocholine O-acyltransferase) (EC 2.3.1.25) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acetyl-CoA:lyso-platelet-activating factor acetyltransferase) (Acetyl-CoA:lyso-PAF acetyltransferase) (Lyso-PAF acetyltransferase) (LysoPAFAT) (Acyltransferase-like 1)	Lpcat2 Aytl1 Aytl1a Lpcat2a	Rattus norvegicus (Rat)	544		TOPO_DOM 1..58; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 80..544; /note="Lumenal"; /evidence="ECO:0000255"	TRANSMEM 59..79; /note="Helical; Signal-anchor for type II membrane protein"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q7L5N7}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q7L5N7}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q8BYI6}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q7L5N7}. Cell membrane {ECO:0000250|UniProtKB:Q8BYI6}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q7L5N7}. Lipid droplet {ECO:0000250|UniProtKB:Q7L5N7}.						10116.ENSRNOP00000022359;	
P0C2S4	reviewed	GUND_ACETH	Endoglucanase D (EGD) (EC 3.2.1.4) (Cellulase D) (Endo-1,4-beta-glucanase)	celD	Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum)	625					HELIX 116..128; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 157..160; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 182..198; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 200..203; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 219..231; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 232..234; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 258..260; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 272..289; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 294..313; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 336..350; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 353..363; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 380..389; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 397..420; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 435..452; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 456..469; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 494..498; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 527..530; /evidence="ECO:0007829|PDB:4CJ0"; HELIX 534..545; /evidence="ECO:0007829|PDB:4CJ0"	TURN 75..78; /evidence="ECO:0007829|PDB:4CJ0"; TURN 100..102; /evidence="ECO:0007829|PDB:4CJ0"; TURN 112..115; /evidence="ECO:0007829|PDB:4CJ0"; TURN 211..214; /evidence="ECO:0007829|PDB:4CJ0"; TURN 290..292; /evidence="ECO:0007829|PDB:4CJ0"; TURN 426..429; /evidence="ECO:0007829|PDB:4CJ0"; TURN 546..549; /evidence="ECO:0007829|PDB:4CJ0"	STRAND 34..37; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 44..47; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 53..58; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 61..68; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 70..74; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 79..85; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 93..99; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 108..110; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 135..139; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 142..146; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 175..177; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 215..217; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 243..248; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 266..270; /evidence="ECO:0007829|PDB:1CLC"; STRAND 367..370; /evidence="ECO:0007829|PDB:4CJ0"; STRAND 483..486; /evidence="ECO:0007829|PDB:4CJ0"				
P0DP23	reviewed	CALM1_HUMAN	Calmodulin-1	CALM1 CALM CAM CAM1	Homo sapiens (Human)	149				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:16760425}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:16760425}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:P0DP26}. Note=Distributed throughout the cell during interphase, but during mitosis becomes dramatically localized to the spindle poles and the spindle microtubules.	HELIX 2..4; /evidence="ECO:0007829|PDB:4DJC"; HELIX 7..20; /evidence="ECO:0007829|PDB:4DJC"; HELIX 30..39; /evidence="ECO:0007829|PDB:4DJC"; HELIX 46..56; /evidence="ECO:0007829|PDB:4DJC"; HELIX 57..59; /evidence="ECO:0007829|PDB:4LZX"; HELIX 66..93; /evidence="ECO:0007829|PDB:4DJC"; HELIX 103..112; /evidence="ECO:0007829|PDB:4DJC"; HELIX 119..129; /evidence="ECO:0007829|PDB:4DJC"; HELIX 139..146; /evidence="ECO:0007829|PDB:4DJC"	TURN 130..132; /evidence="ECO:0007829|PDB:4DCK"	STRAND 21..23; /evidence="ECO:0007829|PDB:2M0J"; STRAND 25..28; /evidence="ECO:0007829|PDB:4DJC"; STRAND 61..65; /evidence="ECO:0007829|PDB:4DJC"; STRAND 94..96; /evidence="ECO:0007829|PDB:1WRZ"; STRAND 97..101; /evidence="ECO:0007829|PDB:4DJC"; STRAND 113..115; /evidence="ECO:0007829|PDB:4LZX"; STRAND 133..138; /evidence="ECO:0007829|PDB:4DJC"	NP_001316851.1;NP_001734.1;NP_005175.2;NP_008819.1;		9606.ENSP00000272298;	
