Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane	Beta strand	Helix	Turn	RefSeq	BioGRID	STRING	Tissue specificity
P28783	reviewed	S10A9_BOVIN	Protein S100-A9 (BEE22) (Calgranulin-B) (Neutrophil cytosolic 23 kDa protein) (p23) (S100 calcium-binding protein A9)	S100A9	Bos taurus (Bovine)	156		SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P06702}. Cytoplasm {ECO:0000250|UniProtKB:P06702}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P06702}. Cell membrane {ECO:0000250|UniProtKB:P06702}; Peripheral membrane protein {ECO:0000250|UniProtKB:P06702}. Note=Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane. Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway. {ECO:0000250|UniProtKB:P06702}.						NP_001039793.1;	189176;	9913.ENSBTAP00000008523;	TISSUE SPECIFICITY: Found essentially in phagocytic cells.
P29034	reviewed	S10A2_HUMAN	Protein S100-A2 (CAN19) (Protein S-100L) (S100 calcium-binding protein A2)	S100A2 S100L	Homo sapiens (Human)	98					STRAND 23..26; /evidence="ECO:0007829|PDB:4DUQ"; STRAND 67..71; /evidence="ECO:0007829|PDB:4DUQ"	HELIX 5..21; /evidence="ECO:0007829|PDB:4DUQ"; HELIX 32..42; /evidence="ECO:0007829|PDB:4DUQ"; HELIX 44..47; /evidence="ECO:0007829|PDB:4DUQ"; HELIX 53..63; /evidence="ECO:0007829|PDB:4DUQ"; HELIX 73..89; /evidence="ECO:0007829|PDB:4DUQ"		NP_005969.1;	112181;	9606.ENSP00000357697;	TISSUE SPECIFICITY: A subset of epithelial cells including normal human mammary epithelial cells and keratinocytes. {ECO:0000269|PubMed:1372446}.
P30626	reviewed	SORCN_HUMAN	Sorcin (22 kDa protein) (CP-22) (CP22) (V19)	SRI	Homo sapiens (Human)	198		SUBCELLULAR LOCATION: Cytoplasm. Sarcoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side. Note=Relocates to the sarcoplasmic reticulum membrane in response to elevated calcium levels.			STRAND 66..68; /evidence="ECO:0007829|PDB:4USL"; STRAND 84..86; /evidence="ECO:0007829|PDB:4USL"; STRAND 88..90; /evidence="ECO:0007829|PDB:4USL"; STRAND 118..120; /evidence="ECO:0007829|PDB:4USL"; STRAND 149..152; /evidence="ECO:0007829|PDB:4USL"; STRAND 153..155; /evidence="ECO:0007829|PDB:4UPG"; STRAND 182..187; /evidence="ECO:0007829|PDB:1JUO"	HELIX 28..32; /evidence="ECO:0007829|PDB:4USL"; HELIX 36..43; /evidence="ECO:0007829|PDB:4USL"; HELIX 44..46; /evidence="ECO:0007829|PDB:4USL"; HELIX 51..60; /evidence="ECO:0007829|PDB:4USL"; HELIX 72..82; /evidence="ECO:0007829|PDB:4USL"; HELIX 92..112; /evidence="ECO:0007829|PDB:4USL"; HELIX 122..131; /evidence="ECO:0007829|PDB:4USL"; HELIX 138..147; /evidence="ECO:0007829|PDB:4USL"; HELIX 156..176; /evidence="ECO:0007829|PDB:4USL"; HELIX 178..180; /evidence="ECO:0007829|PDB:2JC2"; HELIX 188..196; /evidence="ECO:0007829|PDB:4USL"	TURN 61..64; /evidence="ECO:0007829|PDB:4USL"	NP_001243820.1;NP_001243821.1 [P30626-3];NP_003121.1 [P30626-1];NP_944490.1 [P30626-2];	112595;	9606.ENSP00000265729;	TISSUE SPECIFICITY: Detected in cardiac myocytes.
P31151	reviewed	S10A7_HUMAN	Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7)	S100A7 PSOR1 S100A7C	Homo sapiens (Human)	101		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:8618345}. Secreted {ECO:0000269|PubMed:8618345}. Note=Secreted by a non-classical secretory pathway.			STRAND 67..70; /evidence="ECO:0007829|PDB:2WND"	HELIX 5..19; /evidence="ECO:0007829|PDB:1PSR"; HELIX 29..39; /evidence="ECO:0007829|PDB:1PSR"; HELIX 41..49; /evidence="ECO:0007829|PDB:1PSR"; HELIX 54..56; /evidence="ECO:0007829|PDB:1PSR"; HELIX 58..62; /evidence="ECO:0007829|PDB:1PSR"; HELIX 72..89; /evidence="ECO:0007829|PDB:1PSR"	TURN 90..92; /evidence="ECO:0007829|PDB:1PSR"	NP_002954.2;	112186;	9606.ENSP00000357712;	TISSUE SPECIFICITY: Fetal ear, skin, and tongue and human cell lines. Highly up-regulated in psoriatic epidermis. Also highly expressed in the urine of bladder squamous cell carcinoma (SCC) bearing patients. {ECO:0000269|PubMed:8618345}.
P31725	reviewed	S10A9_MOUSE	Protein S100-A9 (Calgranulin-B) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	S100a9 Cagb Mrp14	Mus musculus (Mouse)	113		SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P06702}. Cytoplasm {ECO:0000250|UniProtKB:P06702}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P06702}. Cell membrane {ECO:0000250|UniProtKB:P06702}; Peripheral membrane protein {ECO:0000250|UniProtKB:P06702}. Note=Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane. Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway. {ECO:0000250|UniProtKB:P06702}.			STRAND 26..29; /evidence="ECO:0007829|PDB:6ZDY"; STRAND 72..75; /evidence="ECO:0007829|PDB:6ZDY"; STRAND 101..105; /evidence="ECO:0007829|PDB:6ZDY"	HELIX 8..24; /evidence="ECO:0007829|PDB:6ZDY"; HELIX 35..45; /evidence="ECO:0007829|PDB:6ZDY"; HELIX 51..54; /evidence="ECO:0007829|PDB:6ZDY"; HELIX 57..67; /evidence="ECO:0007829|PDB:6ZDY"; HELIX 77..98; /evidence="ECO:0007829|PDB:6ZDY"	TURN 47..50; /evidence="ECO:0007829|PDB:6ZDY"	NP_001268781.1;NP_033140.1;	203057;	10090.ENSMUSP00000112843;	
P31949	reviewed	S10AB_HUMAN	Protein S100-A11 (Calgizzarin) (Metastatic lymph node gene 70 protein) (MLN 70) (Protein S100-C) (S100 calcium-binding protein A11) [Cleaved into: Protein S100-A11, N-terminally processed]	S100A11 MLN70 S100C	Homo sapiens (Human)	105		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18618420}. Nucleus {ECO:0000269|PubMed:18618420}.			STRAND 30..32; /evidence="ECO:0007829|PDB:2LUC"; STRAND 70..75; /evidence="ECO:0007829|PDB:2LUC"	HELIX 7..18; /evidence="ECO:0007829|PDB:1V4Z"; HELIX 36..45; /evidence="ECO:0007829|PDB:2LUC"; HELIX 48..54; /evidence="ECO:0007829|PDB:2LUC"; HELIX 58..67; /evidence="ECO:0007829|PDB:2LUC"; HELIX 77..96; /evidence="ECO:0007829|PDB:2LUC"		NP_005611.1;	112190;	9606.ENSP00000271638;	
P32383	reviewed	PLC1_YEAST	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1 (EC 3.1.4.11) (Phosphoinositide phospholipase C) (Phospholipase C-1) (PLC-1)	PLC1 YPL268W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	869								NP_015055.1;	35945;	4932.YPL268W;	
P32521	reviewed	PAN1_YEAST	Actin cytoskeleton-regulatory complex protein PAN1 (Mitochondrial distribution of proteins protein 3)	PAN1 DIM2 MDP3 MIP3 YIR006C YIB6C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1480		SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein; Cytoplasmic side. Endosome membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm, cytoskeleton, actin patch. Note=Cytoplasmic and cortical actin patches.						NP_012271.3;	34997;	4932.YIR006C;	
P32848	reviewed	PRVA_MOUSE	Parvalbumin alpha	Pvalb Pva	Mus musculus (Mouse)	110								NP_001317615.1;NP_038673.2;	202517;	10090.ENSMUSP00000112598;	TISSUE SPECIFICITY: Expressed in the modiolar nerve root (at protein level). {ECO:0000269|PubMed:17977745}.
P33763	reviewed	S10A5_HUMAN	Protein S100-A5 (Protein S-100D) (S100 calcium-binding protein A5)	S100A5 S100D	Homo sapiens (Human)	92					STRAND 22..24; /evidence="ECO:0007829|PDB:6WN7"; STRAND 26..30; /evidence="ECO:0007829|PDB:2KAX"; STRAND 64..67; /evidence="ECO:0007829|PDB:6WN7"	HELIX 4..20; /evidence="ECO:0007829|PDB:6WN7"; HELIX 31..41; /evidence="ECO:0007829|PDB:6WN7"; HELIX 51..59; /evidence="ECO:0007829|PDB:6WN7"; HELIX 69..85; /evidence="ECO:0007829|PDB:6WN7"	TURN 45..47; /evidence="ECO:0007829|PDB:2KAX"; TURN 60..62; /evidence="ECO:0007829|PDB:2KAX"	NP_002953.2 [P33763-1];XP_016857519.1;XP_016857520.1 [P33763-1];XP_016857521.1 [P33763-1];	112184;	9606.ENSP00000357707;	
P34057	reviewed	RECO_MOUSE	Recoverin (23 kDa photoreceptor cell-specific protein) (Cancer-associated retinopathy protein) (Protein CAR)	Rcvrn Rcv1	Mus musculus (Mouse)	202		SUBCELLULAR LOCATION: Photoreceptor inner segment {ECO:0000269|PubMed:15882641, ECO:0000269|PubMed:15961391, ECO:0000269|PubMed:28151698}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:15882641, ECO:0000269|PubMed:15961391, ECO:0000269|PubMed:28151698}. Photoreceptor outer segment membrane {ECO:0000250|UniProtKB:P21457}; Lipid-anchor {ECO:0000250|UniProtKB:P21457}; Cytoplasmic side {ECO:0000250|UniProtKB:P21457}. Perikaryon {ECO:0000269|PubMed:28151698}. Note=Primarily expressed in the inner segments of light-adapted rod photoreceptors, approximately 10% of which translocates from photoreceptor outer segments upon light stimulation (PubMed:15961391). Targeting of myristoylated protein to rod photoreceptor outer segments is calcium dependent (By similarity). {ECO:0000250|UniProtKB:P21457, ECO:0000269|PubMed:15961391}.						NP_033064.1;		10090.ENSMUSP00000021290;	TISSUE SPECIFICITY: Expressed in rod photoreceptors in the retina (at protein level). {ECO:0000269|PubMed:1386025, ECO:0000269|PubMed:15882641, ECO:0000269|PubMed:15961391}.
P34216	reviewed	EDE1_YEAST	EH domain-containing and endocytosis protein 1 (Bud site selection protein 15)	EDE1 BUD15 YBL047C YBL0501 YBL0520	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1381		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10954428, ECO:0000269|PubMed:11452010, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:18448668, ECO:0000269|PubMed:19713939, ECO:0000269|PubMed:19776351, ECO:0000269|PubMed:22190733}. Note=Localized to actin cortical patches concentrated in the developing bud tip in cells with small buds and at the mother-daughter neck in cells undergoing cytokinesis. Localization can be maintained in the absence of polymerized actin filaments.				HELIX 1221..1223; /evidence="ECO:0007829|PDB:6WY6"; HELIX 1229..1234; /evidence="ECO:0007829|PDB:6WY6"; HELIX 1243..1246; /evidence="ECO:0007829|PDB:6WY6"; HELIX 1341..1350; /evidence="ECO:0007829|PDB:2G3Q"; HELIX 1356..1365; /evidence="ECO:0007829|PDB:2G3Q"; HELIX 1370..1378; /evidence="ECO:0007829|PDB:2G3Q"	TURN 1351..1353; /evidence="ECO:0007829|PDB:2G3Q"	NP_009506.1;	32650;	4932.YBL047C;	
P35243	reviewed	RECO_HUMAN	Recoverin (Cancer-associated retinopathy protein) (Protein CAR)	RCVRN RCV1	Homo sapiens (Human)	200		SUBCELLULAR LOCATION: Photoreceptor inner segment {ECO:0000250|UniProtKB:P34057}. Cell projection, cilium, photoreceptor outer segment {ECO:0000250|UniProtKB:P34057}. Photoreceptor outer segment membrane {ECO:0000250|UniProtKB:P21457}; Lipid-anchor {ECO:0000250|UniProtKB:P21457}; Cytoplasmic side {ECO:0000250|UniProtKB:P21457}. Perikaryon {ECO:0000250|UniProtKB:P34057}. Note=Primarily expressed in the inner segments of light-adapted rod photoreceptors, approximately 10% of which translocates from photoreceptor outer segments upon light stimulation (By similarity). Targeting of myristoylated protein to rod photoreceptor outer segments is calcium dependent (By similarity). {ECO:0000250|UniProtKB:P21457, ECO:0000250|UniProtKB:P34057}.			STRAND 42..45; /evidence="ECO:0007829|PDB:2D8N"; STRAND 79..82; /evidence="ECO:0007829|PDB:2D8N"; STRAND 96..99; /evidence="ECO:0007829|PDB:2D8N"; STRAND 114..117; /evidence="ECO:0007829|PDB:2D8N"	HELIX 11..20; /evidence="ECO:0007829|PDB:2D8N"; HELIX 25..38; /evidence="ECO:0007829|PDB:2D8N"; HELIX 46..55; /evidence="ECO:0007829|PDB:2D8N"; HELIX 63..73; /evidence="ECO:0007829|PDB:2D8N"; HELIX 83..93; /evidence="ECO:0007829|PDB:2D8N"; HELIX 102..109; /evidence="ECO:0007829|PDB:2D8N"; HELIX 119..132; /evidence="ECO:0007829|PDB:2D8N"; HELIX 135..139; /evidence="ECO:0007829|PDB:2D8N"; HELIX 148..158; /evidence="ECO:0007829|PDB:2D8N"; HELIX 169..178; /evidence="ECO:0007829|PDB:2D8N"; HELIX 180..186; /evidence="ECO:0007829|PDB:2D8N"	TURN 143..145; /evidence="ECO:0007829|PDB:2D8N"	NP_002894.1;	111890;	9606.ENSP00000226193;	TISSUE SPECIFICITY: Retina and pineal gland.
P35467	reviewed	S10A1_RAT	Protein S100-A1 (S-100 protein alpha chain) (S-100 protein subunit alpha) (S100 calcium-binding protein A1)	S100a1	Rattus norvegicus (Rat)	94		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P23297}. Sarcoplasmic reticulum {ECO:0000250|UniProtKB:P23297}. Mitochondrion {ECO:0000250|UniProtKB:P56565}.			STRAND 22..25; /evidence="ECO:0007829|PDB:2K2F"; STRAND 27..30; /evidence="ECO:0007829|PDB:1ZFS"; STRAND 68..70; /evidence="ECO:0007829|PDB:1ZFS"	HELIX 4..20; /evidence="ECO:0007829|PDB:1K2H"; HELIX 31..41; /evidence="ECO:0007829|PDB:1K2H"; HELIX 43..47; /evidence="ECO:0007829|PDB:1K2H"; HELIX 49..51; /evidence="ECO:0007829|PDB:2KBM"; HELIX 52..64; /evidence="ECO:0007829|PDB:1K2H"; HELIX 72..85; /evidence="ECO:0007829|PDB:1K2H"; HELIX 91..93; /evidence="ECO:0007829|PDB:2K2F"		NP_001007637.1;	254914;	10116.ENSRNOP00000017000;	TISSUE SPECIFICITY: Although predominant among the water-soluble brain proteins, S100 is also found in a variety of other tissues. {ECO:0000269|PubMed:1742602}.
P35500	reviewed	SCNA_DROME	Sodium channel protein para (Protein paralytic) (Sodium channel 1) (DmNav1)	para CG9907	Drosophila melanogaster (Fruit fly)	2131	INTRAMEM 374..398; /note="Pore-forming"; /evidence="ECO:0000250|UniProtKB:D0E0C2"; INTRAMEM 986..1006; /note="Pore-forming"; /evidence="ECO:0000250|UniProtKB:D0E0C2"; INTRAMEM 1496..1517; /note="Pore-forming"; /evidence="ECO:0000250|UniProtKB:D0E0C2"; INTRAMEM 1788..1810; /note="Pore-forming"; /evidence="ECO:0000250|UniProtKB:D0E0C2"	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:2550145}; Multi-pass membrane protein {ECO:0000250|UniProtKB:D0E0C2}.	TOPO_DOM 1..148; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 173..180; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 200..212; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 232..237; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 258..273; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 298..373; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 399..405; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 428..812; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 838..848; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 874..880; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 901..906; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 927..941; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 964..985; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 1007..1013; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 1042..1296; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 1321..1334; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 1360..1365; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 1388..1391; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 1414..1432; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 1455..1495; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 1518..1533; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 1561..1614; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 1639..1649; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 1674..1679; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 1704..1713; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 1736..1750; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 1774..1787; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 1811..1835; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 1861..2131; /note="Cytoplasmic"; /evidence="ECO:0000305"	TRANSMEM 149..172; /note="Helical; Name=S1 of repeat I"; /evidence="ECO:0000255"; TRANSMEM 181..199; /note="Helical; Name=S2 of repeat I"; /evidence="ECO:0000255"; TRANSMEM 213..231; /note="Helical; Name=S3 of repeat I"; /evidence="ECO:0000255"; TRANSMEM 238..257; /note="Helical; Voltage-sensor; Name=S4 of repeat I"; /evidence="ECO:0000255"; TRANSMEM 274..297; /note="Helical; Name=S5 of repeat I"; /evidence="ECO:0000255"; TRANSMEM 406..427; /note="Helical; Name=S6 of repeat I"; /evidence="ECO:0000255"; TRANSMEM 813..837; /note="Helical; Name=S1 of repeat II"; /evidence="ECO:0000255"; TRANSMEM 849..873; /note="Helical; Name=S2 of repeat II"; /evidence="ECO:0000255"; TRANSMEM 881..900; /note="Helical; Name=S3 of repeat II"; /evidence="ECO:0000255"; TRANSMEM 907..926; /note="Helical; Voltage-sensor; Name=S4 of repeat II"; /evidence="ECO:0000255"; TRANSMEM 942..963; /note="Helical; Name=S5 of repeat II"; /evidence="ECO:0000255"; TRANSMEM 1014..1041; /note="Helical; Name=S6 of repeat II"; /evidence="ECO:0000255"; TRANSMEM 1297..1320; /note="Helical; Name=S1 of repeat III"; /evidence="ECO:0000255"; TRANSMEM 1335..1359; /note="Helical; Name=S2 of repeat III"; /evidence="ECO:0000255"; TRANSMEM 1366..1387; /note="Helical; Name=S3 of repeat III"; /evidence="ECO:0000255"; TRANSMEM 1392..1413; /note="Helical; Voltage-sensor; Name=S4 of repeat III"; /evidence="ECO:0000255"; TRANSMEM 1433..1454; /note="Helical; Name=S5 of repeat III"; /evidence="ECO:0000255"; TRANSMEM 1534..1560; /note="Helical; Name=S6 of repeat III"; /evidence="ECO:0000255"; TRANSMEM 1615..1638; /note="Helical; Name=S1 of repeat IV"; /evidence="ECO:0000255"; TRANSMEM 1650..1673; /note="Helical; Name=S2 of repeat IV"; /evidence="ECO:0000255"; TRANSMEM 1680..1703; /note="Helical; Name=S3 of repeat IV"; /evidence="ECO:0000255"; TRANSMEM 1714..1735; /note="Helical; Voltage-sensor; Name=S4 of repeat IV"; /evidence="ECO:0000255"; TRANSMEM 1751..1773; /note="Helical; Name=S5 of repeat IV"; /evidence="ECO:0000255"; TRANSMEM 1836..1860; /note="Helical; Name=S6 of repeat IV"; /evidence="ECO:0000255"				NP_001036280.1 [P35500-8];NP_001036281.1 [P35500-4];NP_001285332.1 [P35500-1];NP_523371.2 [P35500-1];	58957;	7227.FBpp0292707;	
P35571	reviewed	GPDM_RAT	Glycerol-3-phosphate dehydrogenase, mitochondrial (GPD-M) (GPDH-M) (EC 1.1.5.3)	Gpd2	Rattus norvegicus (Rat)	727		SUBCELLULAR LOCATION: Mitochondrion.						NP_036868.1;	247139;	10116.ENSRNOP00000043749;	
P35609	reviewed	ACTN2_HUMAN	Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein)	ACTN2	Homo sapiens (Human)	894		SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:11171996, ECO:0000269|PubMed:19932097, ECO:0000269|PubMed:30701273}. Note=Colocalizes with MYOZ1 and FLNC at the Z-lines of skeletal muscle.			STRAND 90..92; /evidence="ECO:0007829|PDB:5A36"; STRAND 175..177; /evidence="ECO:0007829|PDB:6SWT"; STRAND 237..239; /evidence="ECO:0007829|PDB:6SWT"; STRAND 389..392; /evidence="ECO:0007829|PDB:4D1E"; STRAND 767..770; /evidence="ECO:0007829|PDB:4D1E"; STRAND 843..845; /evidence="ECO:0007829|PDB:6TS3"; STRAND 871..873; /evidence="ECO:0007829|PDB:4D1E"	HELIX 21..29; /evidence="ECO:0007829|PDB:5A36"; HELIX 32..52; /evidence="ECO:0007829|PDB:6SWT"; HELIX 53..55; /evidence="ECO:0007829|PDB:6SWT"; HELIX 70..80; /evidence="ECO:0007829|PDB:6SWT"; HELIX 93..109; /evidence="ECO:0007829|PDB:6SWT"; HELIX 119..123; /evidence="ECO:0007829|PDB:6SWT"; HELIX 127..142; /evidence="ECO:0007829|PDB:6SWT"; HELIX 153..165; /evidence="ECO:0007829|PDB:6SWT"; HELIX 178..180; /evidence="ECO:0007829|PDB:6SWT"; HELIX 184..193; /evidence="ECO:0007829|PDB:6SWT"; HELIX 200..202; /evidence="ECO:0007829|PDB:6SWT"; HELIX 208..222; /evidence="ECO:0007829|PDB:6SWT"; HELIX 231..236; /evidence="ECO:0007829|PDB:6SWT"; HELIX 242..256; /evidence="ECO:0007829|PDB:6SWT"; HELIX 274..277; /evidence="ECO:0007829|PDB:7A8T"; HELIX 280..304; /evidence="ECO:0007829|PDB:7A8T"; HELIX 313..328; /evidence="ECO:0007829|PDB:7A8T"; HELIX 331..354; /evidence="ECO:0007829|PDB:7A8T"; HELIX 364..366; /evidence="ECO:0007829|PDB:1HCI"; HELIX 368..383; /evidence="ECO:0007829|PDB:7A8T"; HELIX 393..416; /evidence="ECO:0007829|PDB:1QUU"; HELIX 420..425; /evidence="ECO:0007829|PDB:1QUU"; HELIX 428..431; /evidence="ECO:0007829|PDB:7A8T"; HELIX 434..470; /evidence="ECO:0007829|PDB:1QUU"; HELIX 476..536; /evidence="ECO:0007829|PDB:1QUU"; HELIX 551..562; /evidence="ECO:0007829|PDB:1QUU"; HELIX 564..588; /evidence="ECO:0007829|PDB:1QUU"; HELIX 604..632; /evidence="ECO:0007829|PDB:1QUU"; HELIX 671..704; /evidence="ECO:0007829|PDB:7A8T"; HELIX 717..745; /evidence="ECO:0007829|PDB:7A8T"; HELIX 753..762; /evidence="ECO:0007829|PDB:4D1E"; HELIX 777..784; /evidence="ECO:0007829|PDB:4D1E"; HELIX 794..799; /evidence="ECO:0007829|PDB:4D1E"; HELIX 812..820; /evidence="ECO:0007829|PDB:4D1E"; HELIX 825..838; /evidence="ECO:0007829|PDB:6TS3"; HELIX 847..853; /evidence="ECO:0007829|PDB:6TS3"; HELIX 856..865; /evidence="ECO:0007829|PDB:6TS3"; HELIX 881..889; /evidence="ECO:0007829|PDB:6TS3"	TURN 62..68; /evidence="ECO:0007829|PDB:6SWT"; TURN 143..145; /evidence="ECO:0007829|PDB:6SWT"; TURN 195..197; /evidence="ECO:0007829|PDB:6SWT"; TURN 417..419; /evidence="ECO:0007829|PDB:1QUU"; TURN 537..540; /evidence="ECO:0007829|PDB:1QUU"; TURN 548..550; /evidence="ECO:0007829|PDB:1QUU"; TURN 666..669; /evidence="ECO:0007829|PDB:1HCI"; TURN 839..841; /evidence="ECO:0007829|PDB:6TS3"	NP_001094.1 [P35609-1];NP_001265272.1 [P35609-2];NP_001265273.1;	106603;	9606.ENSP00000443495;	TISSUE SPECIFICITY: Expressed in both skeletal and cardiac muscle.
P35750	reviewed	CAN1_PIG	Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Micromolar-calpain) (muCANP)	CAPN1	Sus scrofa (Pig)	714		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P07384}. Cell membrane {ECO:0000250|UniProtKB:P07384}. Note=Translocates to the plasma membrane upon Ca(2+) binding. {ECO:0000250|UniProtKB:P07384}.						NP_001335713.1;XP_005660759.1;		9823.ENSSSCP00000013824;	
P37235	reviewed	HPCL1_HUMAN	Hippocalcin-like protein 1 (Calcium-binding protein BDR-1) (HLP2) (Visinin-like protein 3) (VILIP-3)	HPCAL1 BDR1	Homo sapiens (Human)	193		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.			STRAND 37..40; /evidence="ECO:0007829|PDB:5T7C"; STRAND 75..77; /evidence="ECO:0007829|PDB:5T7C"; STRAND 110..114; /evidence="ECO:0007829|PDB:5T7C"	HELIX 10..14; /evidence="ECO:0007829|PDB:5T7C"; HELIX 25..35; /evidence="ECO:0007829|PDB:5T7C"; HELIX 46..54; /evidence="ECO:0007829|PDB:5T7C"; HELIX 61..71; /evidence="ECO:0007829|PDB:5T7C"; HELIX 82..89; /evidence="ECO:0007829|PDB:5T7C"; HELIX 97..105; /evidence="ECO:0007829|PDB:5T7C"; HELIX 118..132; /evidence="ECO:0007829|PDB:5T7C"; HELIX 146..156; /evidence="ECO:0007829|PDB:5T7C"; HELIX 167..174; /evidence="ECO:0007829|PDB:5T7C"; HELIX 176..182; /evidence="ECO:0007829|PDB:5T7C"		NP_001245286.1;NP_001245287.1;NP_001245288.1;NP_002140.2;NP_602293.1;XP_005246217.1;XP_005246218.1;XP_005246219.1;XP_005246220.1;XP_011508648.1;XP_011508649.1;XP_011508650.1;XP_016859439.1;XP_016859440.1;XP_016859441.1;XP_016859442.1;	109481;	9606.ENSP00000483786;	
